Grado,Tiempo Estandar,Tiempo Horner
10,2.4e-08,2.5e-08
20,4.7e-08,4.9e-08
30,7.1e-08,8.2e-08
40,1e-07,1.2e-07
50,1.21e-07,1.7e-07
60,1.35e-07,1.72e-07
70,1.58e-07,2.03e-07
80,1.85e-07,2.88e-07
90,2.07e-07,2.67e-07
100,2.34e-07,3.46e-07
110,2.89e-07,3.35e-07
120,3.23e-07,3.67e-07
130,3.04e-07,4.4e-07
140,3.27e-07,4.85e-07
150,3.51e-07,4.92e-07
160,4.71e-07,5.94e-07
170,5.58e-07,6.2e-07
180,4.91e-07,7.77e-07
190,5.32e-07,5.94e-07
200,5.11e-07,6.21e-07
210,5.32e-07,6.99e-07
220,5.15e-07,7.33e-07
230,5.38e-07,7.68e-07
240,6.04e-07,7.9e-07
250,5.93e-07,8.24e-07
260,6.46e-07,8.39e-07
270,6.69e-07,8.83e-07
280,7.07e-07,1.005e-06
290,8.5e-07,1.072e-06
300,7.08e-07,9.95e-07
310,7.78e-07,1.01e-06
320,8.12e-07,1.056e-06
330,8.13e-07,1.074e-06
340,7.95e-07,1.067e-06
350,8.24e-07,1.099e-06
360,8.46e-07,1.131e-06
370,8.69e-07,1.163e-06
380,8.89e-07,1.195e-06
390,9.18e-07,1.227e-06
400,1.017e-06,1.259e-06
410,9.99e-07,1.291e-06
420,9.95e-07,1.322e-06
430,1.014e-06,1.357e-06
440,1.053e-06,1.387e-06
450,1.065e-06,1.417e-06
460,1.101e-06,1.531e-06
470,1.329e-06,1.578e-06
480,1.182e-06,1.53e-06
490,1.155e-06,1.588e-06
500,1.18e-06,1.576e-06
510,1.23e-06,1.609e-06
520,1.258e-06,1.955e-06
530,1.483e-06,1.678e-06
540,1.298e-06,1.706e-06
550,1.341e-06,1.735e-06
560,1.335e-06,1.769e-06
570,1.347e-06,1.85e-06
580,1.511e-06,1.883e-06
590,1.402e-06,1.917e-06
600,1.526e-06,1.898e-06
610,1.771e-06,2.012e-06
620,1.498e-06,2.166e-06
630,1.586e-06,2.235e-06
640,1.601e-06,2.061e-06
650,1.539e-06,2.056e-06
660,1.562e-06,2.123e-06
670,1.623e-06,2.16e-06
680,1.624e-06,2.152e-06
690,1.638e-06,2.184e-06
700,1.652e-06,2.216e-06
710,1.862e-06,2.372e-06
720,1.724e-06,2.339e-06
730,1.719e-06,2.311e-06
740,1.753e-06,2.35e-06
750,1.818e-06,2.376e-06
760,1.809e-06,2.409e-06
770,1.827e-06,2.437e-06
780,1.84e-06,2.469e-06
790,1.861e-06,2.501e-06
800,1.894e-06,2.533e-06
810,2.084e-06,2.576e-06
820,2.019e-06,2.596e-06
830,2.096e-06,2.825e-06
840,2.04e-06,2.664e-06
850,2.008e-06,2.694e-06
860,2.068e-06,2.726e-06
870,2.077e-06,2.757e-06
880,2.122e-06,2.794e-06
890,2.097e-06,2.819e-06
900,2.117e-06,2.851e-06
910,2.316e-06,2.941e-06
920,2.188e-06,2.914e-06
930,2.338e-06,2.957e-06
940,2.444e-06,3.069e-06
950,2.246e-06,3.011e-06
960,2.314e-06,3.046e-06
970,2.284e-06,3.074e-06
980,2.3e-06,3.106e-06
990,2.324e-06,3.14e-06
1000,2.379e-06,3.175e-06
